pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
1zv8,../pdb/surface_glycoprotein/SARS-CoV/1zv8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1zv8,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.94,,0.2032,0.27427
2run,../pdb/surface_glycoprotein/SARS-CoV/2run,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2run,surface_glycoprotein,SARS-CoV,SOLUTION NMR,0,,,,
6crx,../pdb/surface_glycoprotein/SARS-CoV/6crx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6crx,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.9,,,
5x4s,../pdb/surface_glycoprotein/SARS-CoV/5x4s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5x4s,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.2519,0.2824
6crz,../pdb/surface_glycoprotein/SARS-CoV/6crz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6crz,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.3,,,
5zvm,../pdb/surface_glycoprotein/SARS-CoV/5zvm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5zvm,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,3.3,,0.2476,0.3014
3sci,../pdb/surface_glycoprotein/SARS-CoV/3sci,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3sci,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.9,,0.22587,0.28264
2bez,../pdb/surface_glycoprotein/SARS-CoV/2bez,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2bez,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.206,0.244
3d0g,../pdb/surface_glycoprotein/SARS-CoV/3d0g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3d0g,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.214,0.279
3scj,../pdb/surface_glycoprotein/SARS-CoV/3scj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3scj,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,3.0,,0.22961,0.27771
2ghv,../pdb/surface_glycoprotein/SARS-CoV/2ghv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2ghv,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.18237,0.21312
3d0h,../pdb/surface_glycoprotein/SARS-CoV/3d0h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3d0h,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,3.1,,0.221,0.302
2dd8,../pdb/surface_glycoprotein/SARS-CoV/2dd8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2dd8,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.199,0.261
1wnc,../pdb/surface_glycoprotein/SARS-CoV/1wnc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1wnc,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.233,0.273
3d0i,../pdb/surface_glycoprotein/SARS-CoV/3d0i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3d0i,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.9,,0.224,0.278
3bgf,../pdb/surface_glycoprotein/SARS-CoV/3bgf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3bgf,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.234,0.286
6crv,../pdb/surface_glycoprotein/SARS-CoV/6crv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6crv,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.2,,,
5xlr,../pdb/surface_glycoprotein/SARS-CoV/5xlr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5xlr,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.8,,,
6crw,../pdb/surface_glycoprotein/SARS-CoV/6crw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6crw,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.9,,,
6waq,../pdb/surface_glycoprotein/SARS-CoV/6waq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6waq,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.2026,0.2359
6acj,../pdb/surface_glycoprotein/SARS-CoV/6acj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acj,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.2,,,
5xjk,../pdb/surface_glycoprotein/SARS-CoV/5xjk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5xjk,surface_glycoprotein,SARS-CoV,SOLUTION NMR,0,,,,
6ack,../pdb/surface_glycoprotein/SARS-CoV/6ack,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6ack,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.5,,,
6cs0,../pdb/surface_glycoprotein/SARS-CoV/6cs0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6cs0,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.8,,,
1wyy,../pdb/surface_glycoprotein/SARS-CoV/1wyy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1wyy,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.21,0.249
2beq,../pdb/surface_glycoprotein/SARS-CoV/2beq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2beq,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.199,0.241
6cs1,../pdb/surface_glycoprotein/SARS-CoV/6cs1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6cs1,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.6,,,
5wrg,../pdb/surface_glycoprotein/SARS-CoV/5wrg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5wrg,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.3,,,
2ajf,../pdb/surface_glycoprotein/SARS-CoV/2ajf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2ajf,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.218,0.275
6cs2,../pdb/surface_glycoprotein/SARS-CoV/6cs2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6cs2,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.4,,,
6acg,../pdb/surface_glycoprotein/SARS-CoV/6acg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acg,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,5.4,,,
6nb6,../pdb/surface_glycoprotein/SARS-CoV/6nb6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6nb6,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.2,,,
5x58,../pdb/surface_glycoprotein/SARS-CoV/5x58,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/5x58,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.2,,,
6nb7,../pdb/surface_glycoprotein/SARS-CoV/6nb7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6nb7,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,4.5,,,
1zva,../pdb/surface_glycoprotein/SARS-CoV/1zva,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1zva,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.5,,0.211,0.246
2fxp,../pdb/surface_glycoprotein/SARS-CoV/2fxp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2fxp,surface_glycoprotein,SARS-CoV,SOLUTION NMR,0,,,,
1zvb,../pdb/surface_glycoprotein/SARS-CoV/1zvb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/1zvb,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,1.7,,0.194,0.239
6acc,../pdb/surface_glycoprotein/SARS-CoV/6acc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acc,surface_glycoprotein,SARS-CoV,ELECTRON MICROSCOPY,0,3.6,,,
3sck,../pdb/surface_glycoprotein/SARS-CoV/3sck,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/3sck,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,3.0,,0.2392,0.28529
2ghw,../pdb/surface_glycoprotein/SARS-CoV/2ghw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/2ghw,surface_glycoprotein,SARS-CoV,X-RAY DIFFRACTION,0,2.29,,0.24843,0.29537
